,brand,name,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,발림성_아주 만족해요,발림성_보통이에요,발림성_다소 아쉬워요,세정력_아주 만족해요,세정력_보통이에요,세정력_다소 아쉬워요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요,지성,건성,복합성,민감성,약건성,트러블성,중성,쿨톤,웜톤,봄웜톤,여름쿨톤,가을웜톤,겨울쿨톤,잡티,미백,주름,각질,트러블,블랙헤드,피지과다,모공,탄력,홍조,아토피,다크서클
11,아이소이,아이소이 잡티세럼,22,64,14,25,36,39,0,0,0,0,0,0,66,34,1,73,115,217,134,2,25,10,146,171,39,59,24,12,53,86,3,153,56,74,4,256,1,3,9,64
12,토리든,토리든 다이브인 저분자 히알루론산 세럼,26,61,13,65,35,0,0,0,0,0,0,0,75,25,0,16,30,58,35,5,7,2,34,28,26,22,11,5,17,13,0,34,12,18,1,54,0,8,5,41
13,닥터지,닥터지 레드 블레미쉬 클리어 수딩 크림,26,58,16,46,54,1,0,0,0,0,0,0,77,23,1,92,97,241,142,4,38,14,122,165,64,65,35,34,53,82,7,166,59,87,11,288,13,10,6,62
14,메디필,메디필 히알루론산 레이어 물톡스 앰플 더블,40,52,8,76,20,4,0,0,0,0,0,0,88,12,1,5,10,28,7,0,1,1,8,12,13,4,5,2,4,8,0,21,7,3,1,25,0,3,1,8
15,바이오힐보,바이오힐보 프로바이오덤 리프팅 크림,50,50,1,49,23,28,0,0,0,0,0,0,67,33,0,64,142,270,142,4,12,5,158,203,41,48,24,32,73,113,14,149,52,89,10,265,30,9,5,52
16,브이앤에이뷰티,V A 미백광채앰플,28,65,7,22,14,64,0,0,0,0,0,0,67,31,3,12,56,69,46,1,4,4,37,43,18,37,14,11,34,45,9,50,10,19,3,68,6,2,0,29
17,웰라쥬,웰라쥬 리얼 히알루로닉 블루 100 앰플,36,52,12,75,25,1,0,0,0,0,0,0,81,19,1,87,163,307,213,6,29,10,141,180,93,151,50,38,67,103,11,176,81,97,11,315,11,16,15,130
18,닥터지,닥터지 블랙스네일 크림,50,46,4,69,10,22,0,0,0,0,0,0,75,25,1,13,11,31,26,0,14,0,13,24,9,14,5,9,7,17,2,19,8,11,0,37,1,1,4,13
19,에스트라,에스트라 에이시카365 흔적진정세럼,25,66,10,23,75,2,0,0,0,0,0,0,71,27,2,103,174,324,265,2,67,14,176,232,128,98,37,56,89,114,8,190,129,141,15,374,5,13,24,92
20,파티온,파티온 노스카나인 트러블 흔적 앰플,23,54,23,22,74,4,0,0,0,0,0,0,94,6,1,2,2,4,6,0,0,0,4,2,4,0,0,0,2,1,0,2,1,2,0,6,0,0,0,0
21,아누아,아누아 어성초 77 수딩 토너,19,60,21,21,79,1,0,0,0,0,0,0,76,24,1,94,140,280,229,7,31,3,172,239,49,99,25,21,46,95,4,183,113,75,13,321,6,16,27,62
22,라로슈포제,라로슈포제 NEW 시카플라스트 밤B,57,39,4,51,47,2,0,0,0,0,0,0,78,20,2,83,137,189,189,2,35,8,120,136,63,107,43,44,69,86,10,132,56,73,4,254,19,13,6,96
23,넘버즈인,넘버즈인 5번 글루타치온C 흔적 앰플,39,54,7,30,17,54,0,0,0,0,0,0,65,32,3,41,80,146,86,2,15,3,64,71,50,57,30,32,43,49,4,90,44,48,3,138,4,4,5,81
24,달바,달바 화이트 트러플 더블 세럼 앤 크림,45,51,4,78,16,6,0,0,0,0,0,0,72,28,1,12,21,28,20,0,2,2,13,16,18,8,0,7,9,9,4,23,11,5,1,20,4,3,8,6
25,넘버즈인,넘버즈인 3번 보들보들 결 세럼,31,60,9,52,32,16,0,0,0,0,0,0,55,37,8,120,191,349,216,15,44,16,172,173,139,136,94,64,93,123,24,258,83,136,5,422,18,20,11,139
26,코스알엑스,코스알엑스 더 레티놀 0 1 크림,9,68,24,9,29,62,0,0,0,0,0,0,50,41,9,7,16,42,15,0,7,2,7,18,16,17,8,12,7,14,0,34,8,17,0,53,2,0,0,11
27,라네즈,라네즈 워터뱅크 크림 중건성용,40,57,3,73,27,0,0,0,0,0,0,0,63,33,4,12,33,47,47,0,10,0,31,35,20,10,7,16,17,19,0,44,16,17,3,56,3,7,1,16
28,아이디얼포맨,아이디얼 포 맨 퍼펙트 올인원 탄력,24,67,9,64,33,3,0,0,0,0,0,0,59,41,1,1,0,9,1,0,0,0,1,4,0,2,1,2,0,4,1,5,0,0,0,2,0,0,2,2
29,피지오겔,피지오겔 DMT포맨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,27,18,0,2,0,9,12,12,6,1,3,4,12,0,10,5,7,1,23,5,0,2,10
30,아비브,아비브 부활초 비피다 세럼 퍼밍 드롭,48,50,2,71,22,7,0,0,0,0,0,0,76,24,1,2,4,6,4,0,1,0,1,6,1,3,0,2,1,1,0,4,1,3,0,5,0,0,0,4
31,에스트라,에스트라 아토베리어365 크림,56,40,4,80,20,0,0,0,0,0,0,0,81,19,1,40,207,239,215,1,16,3,179,195,54,65,41,19,67,72,18,158,88,61,3,265,13,26,19,53
